Year    SOM_C     Input    Respired
   1    1.1500    0.2000    0.0500
   2    1.2925    0.2000    0.0575
   3    1.4279    0.2000    0.0646
   4    1.5565    0.2000    0.0714
   5    1.6787    0.2000    0.0778
   6    1.7947    0.2000    0.0839
   7    1.9050    0.2000    0.0897
   8    2.0097    0.2000    0.0952
   9    2.1093    0.2000    0.1005
  10    2.2038    0.2000    0.1055
  11    2.2936    0.2000    0.1102
  12    2.3789    0.2000    0.1147
  13    2.4600    0.2000    0.1189
  14    2.5370    0.2000    0.1230
  15    2.6101    0.2000    0.1268
  16    2.6796    0.2000    0.1305
  17    2.7456    0.2000    0.1340
  18    2.8084    0.2000    0.1373
  19    2.8679    0.2000    0.1404
  20    2.9245    0.2000    0.1434
  21    2.9783    0.2000    0.1462
  22    3.0294    0.2000    0.1489
  23    3.0779    0.2000    0.1515
  24    3.1240    0.2000    0.1539
  25    3.1678    0.2000    0.1562
  26    3.2094    0.2000    0.1584
  27    3.2490    0.2000    0.1605
  28    3.2865    0.2000    0.1624
  29    3.3222    0.2000    0.1643
  30    3.3561    0.2000    0.1661
  31    3.3883    0.2000    0.1678
  32    3.4189    0.2000    0.1694
  33    3.4479    0.2000    0.1709
  34    3.4755    0.2000    0.1724
  35    3.5018    0.2000    0.1738
  36    3.5267    0.2000    0.1751
  37    3.5503    0.2000    0.1763
  38    3.5728    0.2000    0.1775
  39    3.5942    0.2000    0.1786
  40    3.6145    0.2000    0.1797
  41    3.6337    0.2000    0.1807
  42    3.6521    0.2000    0.1817
  43    3.6695    0.2000    0.1826
  44    3.6860    0.2000    0.1835
  45    3.7017    0.2000    0.1843
  46    3.7166    0.2000    0.1851
  47    3.7308    0.2000    0.1858
  48    3.7442    0.2000    0.1865
  49    3.7570    0.2000    0.1872
  50    3.7692    0.2000    0.1879
  51    3.7807    0.2000    0.1885
  52    3.7917    0.2000    0.1890
  53    3.8021    0.2000    0.1896
  54    3.8120    0.2000    0.1901
  55    3.8214    0.2000    0.1906
  56    3.8303    0.2000    0.1911
  57    3.8388    0.2000    0.1915
  58    3.8469    0.2000    0.1919
  59    3.8545    0.2000    0.1923
  60    3.8618    0.2000    0.1927
  61    3.8687    0.2000    0.1931
  62    3.8753    0.2000    0.1934
  63    3.8815    0.2000    0.1938
  64    3.8874    0.2000    0.1941
  65    3.8931    0.2000    0.1944
  66    3.8984    0.2000    0.1947
  67    3.9035    0.2000    0.1949
  68    3.9083    0.2000    0.1952
  69    3.9129    0.2000    0.1954
  70    3.9172    0.2000    0.1956
  71    3.9214    0.2000    0.1959
  72    3.9253    0.2000    0.1961
  73    3.9291    0.2000    0.1963
  74    3.9326    0.2000    0.1965
  75    3.9360    0.2000    0.1966
  76    3.9392    0.2000    0.1968
  77    3.9422    0.2000    0.1970
  78    3.9451    0.2000    0.1971
  79    3.9478    0.2000    0.1973
  80    3.9505    0.2000    0.1974
  81    3.9529    0.2000    0.1975
  82    3.9553    0.2000    0.1976
  83    3.9575    0.2000    0.1978
  84    3.9596    0.2000    0.1979
  85    3.9617    0.2000    0.1980
  86    3.9636    0.2000    0.1981
  87    3.9654    0.2000    0.1982
  88    3.9671    0.2000    0.1983
  89    3.9688    0.2000    0.1984
  90    3.9703    0.2000    0.1984
  91    3.9718    0.2000    0.1985
  92    3.9732    0.2000    0.1986
  93    3.9746    0.2000    0.1987
  94    3.9758    0.2000    0.1987
  95    3.9770    0.2000    0.1988
  96    3.9782    0.2000    0.1989
  97    3.9793    0.2000    0.1989
  98    3.9803    0.2000    0.1990
  99    3.9813    0.2000    0.1990
 100    3.9822    0.2000    0.1991
